PM2.5,Calibrated PM2.5,PM10,Calibrated PM10,Relative humidity,AQI,AQL,AQI-MP
9,16.13,12.7,37.28,66.64,37.28,0,37
9.1,16.26,18.4,46.74,66.57,46.74,0,46
9.2,16.4,24.4,56.69,66.59,56.69,1,56
8.7,15.72,22.5,53.54,66.47,53.54,1,53
9.1,16.26,13.4,38.44,66.46,38.44,0,38
9,16.13,18.5,46.9,66.34,46.9,0,46
8.8,15.85,18.9,47.57,66.36,47.57,0,47
8.6,15.58,16.6,43.75,66.38,43.75,0,43
9.1,16.26,19.4,48.4,66.38,48.4,0,48
8.9,15.99,17.9,45.91,66.36,45.91,0,45
8.8,15.85,17.8,45.74,66.41,45.74,0,45
8.2,15.03,21.6,52.05,66.47,52.05,1,52
9.1,16.26,19.4,48.4,66.43,48.4,0,48
9.6,16.95,24.8,57.35,66.42,57.35,1,57
8.4,15.31,18,46.07,66.44,46.07,0,46
8.5,15.44,16.1,42.92,66.4,42.92,0,42
8.4,15.31,19.6,48.73,66.41,48.73,0,48
8.2,15.03,16.6,43.75,66.42,43.75,0,43
8.7,15.72,22,52.71,66.4,52.71,1,52
8.8,15.85,22,52.71,66.32,52.71,1,52
8.7,15.72,23.4,55.03,66.31,55.03,1,55
8.7,15.72,22.8,54.04,66.31,54.04,1,54
8.5,15.44,17.1,44.58,66.27,44.58,0,44
8.4,15.31,16.4,43.42,66.16,43.42,0,43
8.8,15.85,18.5,46.9,66.09,46.9,0,46
9.4,16.68,18,46.07,65.97,46.07,0,46
9,16.13,17.1,44.58,65.89,44.58,0,44
9.2,16.4,16.4,43.42,65.89,43.42,0,43
8.7,15.72,16.7,43.92,65.84,43.92,0,43
8.9,15.99,18.6,47.07,65.84,47.07,0,47
9.2,16.4,20.5,50.22,65.8,50.22,1,50
8.6,15.58,16.1,42.92,65.75,42.92,0,42
8.9,15.99,15.2,41.43,65.79,41.43,0,41
9.4,16.68,20.4,50.05,65.81,50.05,1,50
9.1,16.26,19.1,47.9,65.85,47.9,0,47
8.5,15.44,18.4,46.74,65.85,46.74,0,46
8.7,15.72,18.5,46.9,65.82,46.9,0,46
8.4,15.31,15.6,42.09,65.83,42.09,0,42
9,16.13,17.5,45.24,65.84,45.24,0,45
9.1,16.26,18.7,47.23,65.8,47.23,0,47
8.9,15.99,21,51.05,65.79,51.05,1,51
8.8,15.85,14.3,39.94,65.75,39.94,0,39
9.1,16.26,18.3,46.57,65.78,46.57,0,46
10,17.5,28.6,63.66,65.74,63.66,1,63
9.9,17.36,23.3,54.87,65.82,54.87,1,54
9.9,17.36,23.9,55.86,65.75,55.86,1,55
9.6,16.95,22.5,53.54,65.75,53.54,1,53
9.3,16.54,16.8,44.08,65.81,44.08,0,44
9.2,16.4,19.1,47.9,65.84,47.9,0,47
9.2,16.4,18,46.07,65.8,46.07,0,46
9.6,16.95,17.9,45.91,65.88,45.91,0,45
9.3,16.54,21.1,51.22,65.85,51.22,1,51
8.9,15.99,15.4,41.76,65.9,41.76,0,41
9.3,16.54,25.4,58.35,65.91,58.35,1,58
9.4,16.68,19.4,48.4,65.93,48.4,0,48
9.1,16.26,16.1,42.92,65.91,42.92,0,42
8.8,15.85,17.5,45.24,65.92,45.24,0,45
8.2,15.03,12.6,37.12,65.84,37.12,0,37
8.4,15.31,13,37.78,65.77,37.78,0,37
8.7,15.72,14.4,40.1,65.74,40.1,0,40
8.8,15.85,16,42.76,65.71,42.76,0,42
11.2,19.14,24.5,56.86,65.73,56.86,1,56
10.3,17.91,21.7,52.21,65.73,52.21,1,52
8.7,15.72,14.8,40.77,65.68,40.77,0,40
8.4,15.31,14,39.44,65.64,39.44,0,39
8.2,15.03,13.2,38.11,65.67,38.11,0,38
8.1,14.9,12.3,36.62,65.67,36.62,0,36
17.5,27.76,41.1,84.39,65.7,84.39,1,84
89.8,126.75,211.7,367.37,65.76,321.71,4,367
