CO2,Temperature,Relative Humidity
23,23,640
23,23,674
22,22,654
25,25,616
24,24,618
25,25,654
22,22,678
26,26,640
24,24,636
22,22,658
24,24,692
25,25,704
22,22,718
23,23,692
25,25,692
24,24,698
23,23,684
22,22,682
24,24,664
24,24,656
26,26,610
23,23,574
22,22,562
24,24,608
25,25,616
26,26,598
27,27,618
23,23,618
25,25,608
25,25,596
23,23,580
25,25,570
25,25,568
26,26,566
25,25,556
25,25,552
26,26,574
24,24,554
25,25,502
25,25,502
28,28,526
24,24,526
23,23,498
24,24,518
25,25,560
22,22,544
22,22,536
26,26,536
20,20,522
23,23,532
21,21,538
22,22,496
21,21,492
22,22,502
23,23,526
22,22,510
22,22,512
22,22,530
21,21,504
22,22,498
24,24,508
22,22,464
21,21,464
21,21,526
21,21,506
23,23,498
22,22,516
23,23,490
21,21,478
